4 3969 5908 
1 2616 3923 
4 2570 4076 
3 2520 3994 
1 1709 2694 
3 2565 4410 
1 1722 2819 
1 1665 2788 
1 1232 1946 
2 1741 3017 
5 905 1474 
1 763 1202 
1 1510 2717 
1 873 1445 
1 782 1276 
1 858 1440 
4 574 877 
5 1414 2591 
1 640 1052 
1 920 1627 
1 908 1625 
1 558 947 
1 400 639 
4 443 730 
1 350 546 
1 349 547 
1 467 789 
1 591 1041 
1 467 796 
1 295 460 
1 505 886 
1 736 1359 
2 394 677 
1 442 775 
1 305 502 
1 418 729 
3 448 791 
1 277 450 
1 187 271 
1 236 369 
1 264 425 
1 328 553 
2 161 220 
1 386 670 
1 496 890 
1 253 405 
1 354 607 
1 304 509 
1 159 221 
1 230 364 
2 944 1792 
1 194 293 
1 235 376 
1 501 908 
1 530 966 
1 231 369 
1 259 426 
1 284 477 
1 205 320 
1 206 323 
2 641 1194 
1 125 165 
1 165 247 
1 213 343 
3 180 278 
1 291 500 
1 401 720 
1 321 561 
1 118 156 
3 181 282 
1 204 328 
4 221 364 
1 128 183 
1 178 283 
1 188 303 
1 100 128 
1 173 275 
1 263 455 
1 174 278 
1 88 109 
1 101 135 
1 106 145 
1 156 245 
1 177 287 
1 91 116 
2 91 116 
1 93 120 
1 100 134 
1 105 146 
1 129 194 
1 170 276 
2 254 444 
1 94 125 
1 94 125 
1 109 155 
1 135 207 
1 318 573 
1 87 112 
1 145 229 
9 1380 2699 
3 82 104 
1 83 106 
3 82 105 
1 110 161 
1 145 231 
1 162 265 
1 109 160 
1 157 256 
1 83 109 
1 75 95 
1 82 109 
1 128 201 
1 63 72 
9 69 84 
1 71 88 
1 72 90 
2 76 98 
2 82 110 
1 219 384 
9 70 87 
1 252 451 
1 264 475 
2 74 96 
1 73 96 
1 65 81 
1 68 87 
9 55 63 
1 60 73 
1 63 79 
3 65 84 
1 66 86 
3 67 88 
10 58 71 
1 74 103 
1 118 192 
2 57 71 
10 61 79 
1 72 101 
8 54 66 
1 120 198 
1 132 222 
1 54 67 
4 58 75 
8 62 83 
2 50 60 
4 52 64 
2 53 66 
1 55 70 
2 55 70 
